Id;Name;StartDate;CreatedAt;Status;Error;EndDate;ConfigType;Provider;ModelName;SpentTokens
620f41cb-4bbe-400f-ad97-4b02d9147901;TelegramPostCommentTrendProcessingJob;2026-04-14 10:29:56.794285+00;2026-04-14 10:29:56.794285+00;0;"";"";Hybrid;Ollama;ilyagusev/saiga_llama3;117157
"06a8a863-0983-476a-99a4-0f6e92518150";PostTagProcessingJob;2026-04-14 03:30:35.018569+00;2026-04-14 03:30:35.018569+00;1;"";2026-04-14 03:50:18.918637+00;Hybrid;Ollama;ilyagusev/saiga_llama3;444260
e9d839fb-8eb6-48c0-9d90-7f6128cf8187;ClusterCommentTrendProcessingJob;2026-04-14 02:29:02.91224+00;2026-04-14 02:29:02.91224+00;1;"";2026-04-14 02:45:49.717488+00;Hybrid;Ollama;ilyagusev/saiga_llama3;116846
72d8c223-8be8-4f58-b82a-6af836d9a0f6;PostTagProcessingJob;2026-04-14 00:13:15.29422+00;2026-04-14 00:13:15.29422+00;1;"";2026-04-14 00:32:23.64716+00;Hybrid;Ollama;ilyagusev/saiga_llama3;544569
38035889-0ae7-437e-9068-4bbf1748d62c;PostTagProcessingJob;2026-04-14 08:59:28.260143+00;2026-04-14 08:59:28.260143+00;1;"";2026-04-14 09:15:32.953982+00;Hybrid;Ollama;ilyagusev/saiga_llama3;527495
fb79ac99-983b-45fc-a6eb-3b6589fd8a74;PostTagProcessingJob;2026-04-14 08:12:01.050304+00;2026-04-14 08:12:01.050304+00;1;"";2026-04-14 08:28:43.5674+00;Hybrid;Ollama;ilyagusev/saiga_llama3;510100
849382ad-ed70-4e5d-82bc-1575ff5075bd;PostTagProcessingJob;2026-04-14 09:32:29.230157+00;2026-04-14 09:32:29.230157+00;1;"";2026-04-14 09:48:34.352357+00;Hybrid;Ollama;ilyagusev/saiga_llama3;481727
371d9a30-92c3-4ef9-a179-602f933c0c1e;PostTagProcessingJob;2026-04-14 00:53:43.713167+00;2026-04-14 00:53:43.713167+00;1;"";2026-04-14 01:14:11.192452+00;Hybrid;Ollama;ilyagusev/saiga_llama3;603613
70c0e04d-2d9f-4ce7-8a30-d500cc30c2d9;PostTagProcessingJob;2026-04-14 07:11:57.389374+00;2026-04-14 07:11:57.389374+00;1;"";2026-04-14 07:23:41.404908+00;Hybrid;Ollama;ilyagusev/saiga_llama3;500033
5d6b9a2e-c94c-4d21-836c-d2509a1bc6a2;PostTagProcessingJob;2026-04-14 01:31:45.557641+00;2026-04-14 01:31:45.557641+00;1;"";2026-04-14 01:51:53.945314+00;Hybrid;Ollama;ilyagusev/saiga_llama3;580288
7912f8da-6d74-4e19-9210-913fa636b7f0;PostTagProcessingJob;2026-04-14 02:26:14.60792+00;2026-04-14 02:26:14.60792+00;1;"";2026-04-14 02:46:35.048211+00;Hybrid;Ollama;ilyagusev/saiga_llama3;652101
2b243e5c-9c9d-4da7-83e3-f517838e31f4;PostTagProcessingJob;2026-04-14 08:44:26.7865+00;2026-04-14 08:44:26.7865+00;1;"";2026-04-14 08:59:28.256194+00;Hybrid;Ollama;ilyagusev/saiga_llama3;500185
9611e0dc-90a9-465f-ba18-a56a3d4ab9c7;PostTagProcessingJob;2026-04-14 03:50:18.92386+00;2026-04-14 03:50:18.92386+00;1;"";2026-04-14 04:09:45.689107+00;Hybrid;Ollama;ilyagusev/saiga_llama3;440441
59a4e44e-7b66-4bda-be21-eb7660d74ea1;ClusterCommentTrendProcessingJob;2026-04-14 10:43:07.689903+00;2026-04-14 10:43:07.689903+00;0;"";"";Hybrid;Ollama;ilyagusev/saiga_llama3;70841
f8ec8708-27c2-4ffd-9b3b-1129b44c5cfb;PostTagProcessingJob;2026-04-14 10:07:41.835314+00;2026-04-14 10:07:41.835314+00;1;"";2026-04-14 10:24:35.396855+00;Hybrid;Ollama;ilyagusev/saiga_llama3;476746
c30ba8f1-6e4d-4f6f-8a3c-f06fcade5fc7;PostTagProcessingJob;2026-04-14 10:24:35.401591+00;2026-04-14 10:24:35.401591+00;1;"";2026-04-14 10:39:56.099953+00;Hybrid;Ollama;ilyagusev/saiga_llama3;489409
142af948-4bf3-4f37-9234-7f5dd11e8ef9;PostTagProcessingJob;2026-04-14 09:48:34.354771+00;2026-04-14 09:48:34.354771+00;1;"";2026-04-14 10:07:41.825373+00;Hybrid;Ollama;ilyagusev/saiga_llama3;489714
d9194300-ec64-4e17-bfae-77e724cb159e;PostMultipleCommentEmotionalAnalysisProcessingJob;2026-04-14 06:35:27.078058+00;2026-04-14 06:35:27.078058+00;3;Остановка приложения;2026-04-14 07:06:59.054176+00;Hybrid;Ollama;ilyagusev/saiga_llama3;359793
cd3ff609-99a0-4987-9d6b-9e47695bbff7;PostTagProcessingJob;2026-04-14 04:09:45.691831+00;2026-04-14 04:09:45.691831+00;1;"";2026-04-14 04:26:57.502984+00;Hybrid;Ollama;ilyagusev/saiga_llama3;456158
d1e22340-5cc1-4a65-acc0-635f9c448ee5;ClusterMultipleCommentEmotionalAnalysisProcessingJob;2026-04-14 06:21:41.227623+00;2026-04-14 06:21:41.227623+00;3;Остановка приложения;2026-04-14 07:06:59.054176+00;Hybrid;Ollama;ilyagusev/saiga_llama3;585798
5d1292e8-f28f-4317-b61b-e9e2de77d189;PostTagProcessingJob;2026-04-14 10:58:21.658711+00;2026-04-14 10:58:21.658711+00;0;"";"";Hybrid;Ollama;ilyagusev/saiga_llama3;92958
ea30998b-cd11-4872-98cf-f0905d2bad3e;PostEmotionalAnalysisProcessingJob;2026-04-14 09:01:03.517869+00;2026-04-14 09:01:03.517869+00;1;"";2026-04-14 09:50:12.359117+00;Hybrid;Ollama;ilyagusev/saiga_llama3;580524
cf69d183-cfb1-4ad5-8cda-0a648cd48c5b;PostTagProcessingJob;2026-04-14 01:51:53.956155+00;2026-04-14 01:51:53.956155+00;1;"";2026-04-14 02:08:41.754259+00;Hybrid;Ollama;ilyagusev/saiga_llama3;602581
ea85cbca-8b81-430b-81bf-67b0aa823e19;PostEmotionalAnalysisProcessingJob;2026-04-14 06:30:52.044642+00;2026-04-14 06:30:52.044642+00;3;Остановка приложения;2026-04-14 07:06:59.054176+00;Hybrid;Ollama;ilyagusev/saiga_llama3;292252
a6507ffd-55b4-4dc2-b0bf-377eaa98618b;PostTagProcessingJob;2026-04-14 06:09:34.949086+00;2026-04-14 06:09:34.949086+00;1;"";2026-04-14 06:24:11.275501+00;Hybrid;Ollama;ilyagusev/saiga_llama3;501800
1132a6b9-515f-45cc-b460-facb00eb7cef;ClusterCommentTrendProcessingJob;2026-04-14 06:45:17.677254+00;2026-04-14 06:45:17.677254+00;3;Остановка приложения;2026-04-14 07:06:59.054176+00;Hybrid;Ollama;ilyagusev/saiga_llama3;118185
c5dda882-81a4-4ffb-95cd-1651d497b35f;PostTagProcessingJob;2026-04-14 04:47:00.689021+00;2026-04-14 04:47:00.689021+00;1;"";2026-04-14 05:07:47.266746+00;Hybrid;Ollama;ilyagusev/saiga_llama3;456463
d21531a0-f99e-4e83-bb7f-9109f4cdc8ab;PostTagProcessingJob;2026-04-14 06:51:43.714701+00;2026-04-14 06:51:43.714701+00;3;Остановка приложения;2026-04-14 07:06:59.054176+00;Hybrid;Ollama;ilyagusev/saiga_llama3;296515
"03e93167-9161-417e-bd17-b26766082b72";ClusterCommentTrendProcessingJob;2026-04-14 01:53:00.702068+00;2026-04-14 01:53:00.702068+00;1;"";2026-04-14 02:12:35.666545+00;Hybrid;Ollama;ilyagusev/saiga_llama3;143305
cce0ef95-d873-46a9-8a92-2d275b55d1ea;PostTagProcessingJob;2026-04-14 09:15:32.960415+00;2026-04-14 09:15:32.960415+00;1;"";2026-04-14 09:32:29.22675+00;Hybrid;Ollama;ilyagusev/saiga_llama3;507180
b16429da-85ab-420c-83f9-4bd405515ff2;ClusterCommentTrendProcessingJob;2026-04-14 05:05:39.563977+00;2026-04-14 05:05:39.563977+00;1;"";2026-04-14 05:46:22.952511+00;Hybrid;Ollama;ilyagusev/saiga_llama3;163851
