Id;Name;StartDate;EndDate;Status;Error;Metrics
f3886edd-d19d-4f25-bfb1-57f6717d038d;ClusterCommentTrendProcessingJob;2026-04-14 08:22:42.029352+00;2026-04-14 08:45:10.887773+00;1;"";"Суммарное количество обработанных инфоповодов: 1000
                    Всего проанализировано комментариев: 8441
                    Среднее количество комментариев на инфоповод: 8.44
                    Количество LLM запросов: 395
                    Суммарное время LLM: 1016718 мс
                    Среднее время LLM запроса: 2574.0 мс
                    Доля пустых или слишком коротких трендов (<10 слов): 1.77%"
1d4c94ee-4c42-4aee-b28f-2a650c2d9915;PostTagProcessingJob;2026-04-14 08:12:01.046353+00;2026-04-14 08:28:43.56539+00;1;"";"
            Суммарное количество протегированных постов: 1500
            Доля успешных обработок постов: 98.33%
            Доля постов с 2-4 тегами: 1.27%
            Доля постов с 1 тегом: 0.40%
            Доля сломанных постов (0 тегов): 0.00%
            Доля протегированных новых постов за два дня: 75.06%
            Среднее время от появления поста до тегирования: 41.0 мин
            БД:           1.48% / ( 14883 мс / 1521 запросов)
            OpenSearch:   0.33% / (  3306 мс /  69 запросов)
            LLM:         92.88% / (931103 мс / 1500 запросов)
            Среднее время LLM запроса: 620.7 мс"
b3854765-9423-481f-97bd-49b79da08344;ClusterizationJob;2026-04-14 08:11:57.537097+00;2026-04-14 08:11:57.5525+00;1;"";""
2738d640-00db-4600-a444-ad9d01c22b40;PostEmotionalAnalysisProcessingJob;2026-04-14 08:11:39.075916+00;2026-04-14 09:01:03.489019+00;1;"";"Суммарное количество обработанных постов: 1500
                            Доля постов с очень коротким текстом (<5 слов): 334 (22.27%)
                            Среднее время LLM запроса: 1923.8 мс
                            Суммарное время всех LLM запросов: 2885655 мс
                            Общее количество LLM запросов: 1500"
fa7f991a-6f04-4589-9842-79088a0c8ded;ClusterMultipleCommentEmotionalAnalysisProcessingJob;2026-04-14 08:06:57.510638+00;2026-04-14 09:51:58.09806+00;1;"";"Суммарное количество обработанных инфоповодов: 2268
                        Среднее количество комментариев: 10.00
                        Среднее время LLM запроса: 2282.6 мс"
dab38cdb-3944-48cd-9482-dc39bfa6e305;TelegramProcessingJob;2026-04-14 08:06:57.378235+00;2026-04-14 08:38:49.618392+00;1;"";"Количество активных источников для сбора: 7 269
Количество полностью обработанных источников: 6 883
Количество источников к которым было подключение: 6 881
Общее количество использованных аккаунтов: 178
Суммарное количество новых постов: 5 597
Суммарное количество всех постов: 240 354
Суммарное количество смен прокси: 76
Количество уникальных прокси: 4
Среднее количество источников на один прокси: 1 834,2
Медианный пинг прокси: 4 мс
Доля источников со сменой прокси: 0,1%"
b5c4494f-a596-4ed7-aec3-a9dcbdf46664;ClusterCommentTrendProcessingJob;2026-04-14 08:02:48.997139+00;2026-04-14 08:22:41.928659+00;1;"";"Суммарное количество обработанных инфоповодов: 1000
                    Всего проанализировано комментариев: 8438
                    Среднее количество комментариев на инфоповод: 8.44
                    Количество LLM запросов: 395
                    Суммарное время LLM: 1063986 мс
                    Среднее время LLM запроса: 2693.6 мс
                    Доля пустых или слишком коротких трендов (<10 слов): 2.78%"
89b54ad4-7bad-4672-a666-c64eaceab3bc;ClusterizationJob;2026-04-14 07:51:57.466449+00;2026-04-14 07:51:57.476548+00;1;"";""
1f8781fb-56ef-4f38-986d-0cc671b51df1;PostTagProcessingJob;2026-04-14 07:44:00.748706+00;2026-04-14 08:12:00.969698+00;1;"";"
            Суммарное количество протегированных постов: 1500
            Доля успешных обработок постов: 98.60%
            Доля постов с 2-4 тегами: 1.20%
            Доля постов с 1 тегом: 0.20%
            Доля сломанных постов (0 тегов): 0.00%
            Доля протегированных новых постов за два дня: 75.89%
            Среднее время от появления поста до тегирования: 42.8 мин
            БД:           0.92% / ( 15391 мс / 1521 запросов)
            OpenSearch:   0.18% / (  2982 мс /  69 запросов)
            LLM:         98.13% / (1648857 мс / 1500 запросов)
            Среднее время LLM запроса: 1099.2 мс"
d6286be5-61dc-4b7e-b0c2-d133ec80d03b;PostMultipleCommentEmotionalAnalysisProcessingJob;2026-04-14 07:36:57.455748+00;2026-04-14 09:03:51.94348+00;1;"";"Суммарное количество обработанных постов: 1989
Среднее количество комментариев на один пост: 10.00
Среднее время LLM запроса (мс): 2385.60
Суммарное время выполнения всех LLM-запросов (мс): 4744962.00 мс
Общее количество выполненных LLM-запросов: 1989"
